ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,400000.0,23.1,5.0,Bangalore
Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,811000.0,17.0,5.0,Bangalore
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,585000.0,23.84,5.0,Bangalore
Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,462000.0,19.1,5.0,Bangalore
Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,790000.0,23.65,5.0,Bangalore
Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,1900000.0,17.1,5.0,Bangalore
Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,345000.0,20.63,5.0,Bangalore
Petrol,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,1200000.0,18.15,5.0,Bangalore
Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,960000.0,20.28,5.0,Bangalore
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,585000.0,23.84,5.0,Bangalore
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,690000.0,21.4,5.0,Bangalore
Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,682000.0,18.9,5.0,Bangalore
Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,825000.0,18.2,5.0,Bangalore
Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,595000.0,23.84,5.0,Bangalore
Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,690000.0,15.1,7.0,Bangalore
Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,1350000.0,17.1,5.0,Bangalore
Diesel,SUV,16000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000.0,18.9,5.0,Bangalore
